x,y,z,vx,vy,vz
91.256332,91.49263,1225.332275,-0.367634,-0.108725,0.520926
91.334564,77.549965,1342.091064,-0.615261,-2.14558,4.096669
88.842476,58.028435,1459.439575,-1.2106,-5.390741,8.297453
78.014511,172.76918,57.289272,-2.832138,-2.826715,9.076641
72.618607,173.69397,149.102524,-4.086215,-2.962096,9.233707
63.526199,168.818298,238.892349,-5.478312,-3.759217,8.312199
52.811543,163.348267,318.229095,-6.697936,-4.272703,6.371576
45.57679,171.470947,387.019409,-7.705649,-3.341072,3.340443
46.076241,183.004059,474.069763,-8.038943,-1.252372,0.86501
58.508377,198.06488,565.231201,-5.90635,1.393671,-0.824788
75.750313,210.862549,633.594299,-3.18749,3.961378,-3.912306
89.44075,221.585617,706.299561,-0.990573,5.589875,-7.354684
98.557327,221.648636,785.213074,0.588666,5.835113,-10.033445
103.557068,218.855972,872.409668,1.395484,5.447192,-10.786701
104.820023,216.884842,980.027893,1.440472,4.458562,-8.561324
95.424904,203.414932,1100.892212,0.119428,1.890896,-3.6833
91.05619,195.1707,1219.606567,-0.489638,0.573963,-0.017647
91.396141,189.360397,1327.651978,-0.493824,-0.052742,2.016874
87.020638,175.508484,1447.635254,-1.277919,-2.128231,6.168709
74.609444,277.377594,55.84927,-3.931285,-1.374449,8.704055
68.330452,274.272034,142.007401,-5.195556,-1.682427,8.328924
57.244881,264.601746,228.309464,-6.411607,-2.718707,7.091697
52.388706,252.439758,316.5961,-7.186166,-4.248472,6.087852
51.574543,254.346283,397.120758,-7.541155,-4.29388,4.487118
49.977364,268.01059,491.863251,-7.663723,-2.310036,3.750375
49.691654,283.869629,580.423096,-7.27058,0.901212,2.149121
66.489449,306.058655,646.928833,-4.577943,4.40528,-1.53198
81.980789,318.206879,711.634216,-2.055784,6.329212,-6.335407
92.744858,321.706299,782.657776,0.049132,7.073809,-10.172445
101.019516,320.707184,868.657104,1.502459,6.456443,-11.791252
106.020866,313.320831,973.491638,1.957761,4.782832,-10.204887
101.998009,300.447052,1090.99292,0.731407,2.447622,-5.761059
92.830055,287.649017,1211.627808,-0.644615,0.419493,-1.163554
90.146614,283.363525,1320.408936,-0.857154,-0.112936,0.903033
83.164268,278.157593,1442.999878,-2.111111,-1.177182,5.270514
61.279007,374.342041,54.106548,-5.686357,-0.453753,8.577703
52.168697,370.793396,138.373917,-7.169151,-0.729336,7.981153
49.165165,366.366333,217.221024,-7.812866,-1.334898,5.905289
49.650299,356.600616,307.705261,-7.790396,-2.55332,4.8833
51.799927,351.625977,401.574677,-7.491665,-3.360181,4.910542
52.841621,358.610657,503.457214,-7.244595,-2.513685,5.941664
52.340019,367.056976,601.773804,-6.824115,-0.80546,5.438995
60.497425,384.882507,667.146179,-5.315111,1.80209,1.22023
81.137802,401.732758,722.057434,-1.995745,4.308552,-4.728191
98.735985,408.7724,787.412048,0.688951,5.116332,-9.666497
109.813683,407.862244,864.630676,2.310828,4.526059,-12.814742
112.19101,398.736542,960.246399,2.588661,2.957428,-12.501033
101.137665,387.246063,1074.866943,0.648424,1.215782,-8.451261
81.329712,378.950806,1201.743408,-2.202261,0.033993,-2.601434
77.620316,373.825562,1316.677002,-2.715194,-0.369878,0.339297
72.777039,371.979919,1442.117432,-3.696502,-0.695411,4.923132
44.179211,471.606689,52.945629,-8.170011,0.478403,8.583768
33.079853,467.332703,134.19783,-9.764336,0.28615,7.609486
36.15123,468.051056,214.578751,-9.863848,0.079843,5.361544
40.986458,467.618408,301.934326,-8.984015,-0.077292,4.157856
44.487652,464.639374,400.3862,-8.076504,-0.618391,4.403172
52.665829,464.627747,505.068726,-6.890044,-1.054793,5.949815
60.190948,456.860962,606.76532,-5.892437,-2.004754,6.667105
66.084518,456.794006,681.071289,-4.459939,-1.822088,3.391847
88.918915,469.734711,736.259277,-0.903548,-0.17357,-2.492945
106.985229,467.4245,791.990234,1.297475,-0.287113,-9.023474
114.516075,463.809265,860.052368,2.303561,-0.880015,-13.817619
103.79248,459.055145,950.148804,1.533376,-1.391814,-14.387014
80.16127,460.998566,1069.740112,-2.066886,-1.152502,-9.239622
59.822533,469.662048,1199.38501,-5.245086,0.001191,-2.866041
55.380249,473.463806,1313.935059,-5.822067,0.344683,0.1508
53.409458,474.636902,1444.514038,-6.46202,0.688673,5.308543
35.784248,557.35144,47.641918,-9.911019,-0.203496,8.079661
26.119526,560.260132,136.504089,-11.407664,-0.265274,7.633695
24.323278,571.848022,218.188782,-11.60199,1.065489,5.677968
32.751717,579.141113,303.179901,-10.212358,2.189973,4.203571
44.733265,581.794128,399.421295,-8.294237,2.574014,4.018685
51.793304,571.242615,494.74704,-6.939687,1.222346,4.520875
57.316307,557.422546,595.228943,-5.945919,-0.952405,4.966281
66.154152,547.410156,679.237976,-4.599718,-2.813264,2.455785
85.937408,545.437805,731.958923,-1.939933,-3.963758,-3.519673
93.622032,534.253052,783.622986,-0.525654,-4.745801,-9.717597
93.573517,531.306946,855.412354,-0.19134,-4.756207,-14.091249
75.972473,536.468384,956.784241,-2.389194,-3.586798,-12.873573
52.111591,547.647705,1086.756348,-6.399113,-1.665164,-6.465906
37.791912,557.940613,1213.694336,-9.02815,-0.197955,-1.039025
33.975113,561.873047,1320.352783,-9.454714,0.289114,0.968092
36.896832,566.121643,1439.598511,-9.277526,0.816507,4.886063
34.6833,652.581604,46.159847,-9.860312,-0.309505,7.668274
26.430119,652.22998,147.571045,-11.017814,-0.324357,8.759327
23.63335,664.80249,232.446884,-11.366139,1.495757,7.534993
35.65321,684.992798,313.370056,-9.618657,4.356598,5.733224
50.484333,696.31958,394.464905,-7.378673,6.397325,3.826463
56.049767,688.796021,482.482635,-6.036021,5.319997,2.463843
60.157654,675.31073,582.012024,-5.20981,2.504091,2.751983
67.603653,655.213684,668.424683,-4.288422,-0.728941,0.415185
83.575462,639.860901,720.171326,-2.357693,-3.135593,-5.145158
90.945381,631.402405,777.009827,-1.498506,-4.127766,-10.181108
79.669518,637.25708,862.815796,-2.652597,-3.341046,-12.976552
53.456722,645.979675,967.926025,-6.100066,-1.760206,-10.630041
30.255156,648.787537,1092.552246,-10.049973,-0.757877,-5.17668
16.687881,649.318176,1213.586426,-12.46565,-0.273046,-0.819628
18.451908,650.865906,1324.426636,-12.281069,-0.286998,1.425268
30.545879,656.502075,1438.103149,-10.549425,0.257232,4.634039
39.104641,758.853271,44.257439,-9.006199,1.157666,7.534997
35.753101,762.041748,149.587845,-9.267485,1.706696,9.555509
